3290,東浦,19.90,+0.45,19.85,19.95,19.70,19.78,"140,035","2,770,588",66,19.85,19.90,"99,548,926",19.90,21.85,17.95
3293,鈊象,141.50,+4.50,137.50,143.00,137.50,140.21,"286,100","40,113,500",251,141.50,142.00,"70,087,140",141.50,155.50,127.50
3294,英濟,13.15,-0.05 ,13.20,13.40,12.90,13.20,"120,000","1,583,700",72,13.10,13.15,"132,015,919",13.15,14.45,11.85
3297,杭特,15.00,+0.10,14.80,15.00,14.80,14.90,"31,100","463,364",18,14.85,15.05,"36,859,845",15.00,16.50,13.50
3299,帛漢,47.55,+0.65,46.55,47.95,46.55,47.18,"426,299","20,112,168",319,47.55,47.80,"61,194,225",47.55,52.30,42.80
3303,岱稜,18.50,+0.15,18.20,18.55,18.20,18.42,"133,339","2,456,004",59,18.45,18.60,"96,089,607",18.50,20.35,16.65
3306,鼎天,19.95,-0.75 ,20.85,20.85,19.60,20.08,"122,001","2,449,969",74,19.90,20.10,"50,607,702",19.95,21.90,18.00
3310,佳穎,36.20,+0.20,35.55,36.20,35.55,35.96,"21,000","755,150",18,36.00,36.85,"62,781,586",36.20,39.80,32.60
3313,斐成,25.90,-0.30 ,26.10,27.00,25.65,26.37,"403,000","10,627,800",220,25.90,25.95,"83,770,776",25.90,28.45,23.35
3317,尼克森,36.20,+1.15,35.80,36.80,35.45,36.13,"604,457","21,839,441",444,36.20,36.25,"61,251,550",36.20,39.80,32.60
3322,建舜電,8.70,+0.10,8.60,8.79,8.50,8.56,"80,001","684,418",37,8.52,8.69,"86,415,616",8.70,9.57,7.83
3323,加百裕,45.00,+3.10,42.60,45.10,42.20,43.86,"7,647,501","335,457,295","4,847",44.90,45.00,"86,799,914",45.00,49.50,40.50
3324,雙鴻,52.20,-5.00 ,56.00,56.00,51.50,52.64,"3,027,502","159,358,106","1,951",52.20,52.30,"82,680,953",52.20,57.40,47.00
3325,旭品,12.50,-0.70 ,13.20,13.30,12.30,12.97,"1,303,601","16,909,951",418,12.35,12.50,"74,634,579",12.50,13.75,11.25
3332,幸康,40.95,-0.10 ,40.95,40.95,40.95,40.99,"1,100","45,085",2,39.30,41.00,"48,104,246",40.95,45.00,36.90
3339,泰谷,8.33,-0.06 ,8.01,8.33,7.93,8.05,"26,401","212,496",20,7.93,8.33,"96,181,442",8.33,9.16,7.50
3354,律勝,17.40,-0.40 ,17.95,17.95,17.10,17.47,"141,150","2,465,960",104,17.35,17.40,"70,112,426",17.40,19.10,15.70
3360,尚立,19.25,+0.15,19.10,19.50,18.90,19.20,"656,351","12,604,820",405,19.25,19.30,"75,456,054",19.25,21.15,17.35
3362,先進光,58.60,+0.60,58.40,59.90,57.50,58.60,"1,161,694","68,074,655",756,58.60,58.70,"110,858,706",58.60,64.40,52.80
3363,上詮,25.70,-0.35 ,26.35,26.35,25.30,25.64,"163,004","4,179,951",116,25.60,25.70,"77,474,145",25.70,28.25,23.15
3372,典範,5.42,-0.08 ,5.42,5.50,5.42,5.45,"318,669","1,736,992",75,5.42,5.53,"407,330,000",5.42,5.96,4.88
3373,熱映,17.35,-0.05 ,17.20,17.40,17.20,17.35,"15,004","260,318",13,17.30,17.35,"43,289,801",17.35,19.05,15.65
3374,精材,46.90,+0.70,48.00,48.00,46.60,47.11,"3,649,561","171,947,514","2,177",46.90,47.00,"271,794,916",46.90,51.50,42.25
3379,彬台,10.55,+0.15,10.50,10.55,10.25,10.37,"26,595","275,697",23,10.35,10.55,"38,041,748",10.55,11.60,9.50
3388,崇越電,78.00,+1.00,77.00,78.20,77.00,77.52,"31,655","2,453,890",27,77.50,78.00,"64,061,000",78.00,85.80,70.20
3390,旭軟,23.45,-0.05 ,24.00,24.00,23.00,23.45,"412,079","9,661,851",191,23.40,23.60,"66,981,059",23.45,25.75,21.15
3402,漢科,29.75,+0.50,29.30,30.40,29.30,29.77,"421,175","12,537,539",203,29.70,29.75,"73,047,692",29.75,32.70,26.80
3426,台興,55.80,+0.30,55.50,55.80,55.30,55.47,"28,000","1,553,200",14,55.20,55.80,"26,400,000",55.80,61.30,50.30
3428,光燿科,32.75,-0.05 ,32.60,33.60,32.60,32.93,"316,002","10,406,018",241,32.70,32.85,"95,970,371",32.75,36.00,29.50
3431,長天,5.08,-0.04 ,5.05,5.08,5.05,5.07,"3,002","15,220",3,5.08,5.19,"35,458,704",5.08,5.58,4.58
3434,哲固,14.15,+0.05,14.10,14.70,13.60,14.18,"308,361","4,371,904",180,14.00,14.15,"22,700,000",14.15,15.55,12.75
3438,類比科,15.20,-0.10 ,14.85,15.45,14.85,15.23,"460,625","7,016,936",173,15.20,15.30,"67,379,735",15.20,16.70,13.70
3441,聯一光,26.30,+1.65,25.20,26.30,25.00,25.63,"484,472","12,414,841",329,26.10,26.30,"40,039,920",26.30,28.90,23.70
3444,利機,23.15,+0.30,22.60,23.20,22.60,22.93,"28,000","641,900",22,23.00,23.20,"39,114,586",23.15,25.45,20.85
3452,益通,3.87,+0.07,3.80,3.87,3.80,3.86,"24,359","94,061",11,3.83,3.87,"779,449,742",3.87,4.25,3.49
3455,由田,44.15,-0.45 ,44.20,44.35,43.90,44.09,"239,002","10,536,987",150,44.15,44.25,"61,468,750",44.15,48.55,39.75
3465,祥業,21.60,-0.05 ,21.85,22.55,21.60,22.02,"112,115","2,468,782",135,21.65,21.85,"17,160,335",21.60,23.75,19.45
3466,致振,11.80,0.00 ,11.75,11.80,11.75,11.76,"3,500","41,150",4,11.80,12.00,"60,887,573",11.80,12.95,10.65
3479,安勤,40.90,0.00 ,40.80,41.00,40.80,40.91,"51,110","2,090,910",32,40.90,41.00,"69,194,164",40.90,44.95,36.85
3483,力致,20.20,-0.60 ,20.45,20.95,20.10,20.21,"133,733","2,702,854",60,20.15,20.35,"53,856,000",20.20,22.20,18.20
