006201,元大富櫃50,12.27,-0.07 ,12.34,12.34,12.25,12.27,"120,000","1,472,730",29,12.25,12.27,"16,446,000",12.27,13.49,11.05
3230,錦明, ---,--- ,---,---,---,6.12,0,0,0,5.91,6.09,"107,746,524",6.09,6.69,5.49
3232,昱捷,24.10,-0.20 ,24.30,24.60,24.00,24.22,"44,006","1,065,994",34,24.05,24.20,"36,567,865",24.10,26.50,21.70
3234,光環,27.50,0.00 ,27.50,27.60,27.10,27.35,"79,519","2,175,095",75,27.50,27.55,"72,527,692",27.50,30.25,24.75
3236,千如,30.50,-0.70 ,31.20,31.20,30.45,30.74,"265,330","8,156,380",226,30.50,30.60,"85,641,378",30.50,33.55,27.45
3252,海灣,16.80,-0.10 ,16.90,16.90,16.70,16.80,"119,208","2,003,073",84,16.70,16.85,"50,195,754",16.80,18.45,15.15
3259,鑫創,23.00,-0.05 ,23.05,23.05,23.00,23.01,"4,003","92,119",6,22.90,23.00,"80,859,553",23.00,25.30,20.70
3260,威剛,50.90,+0.20,50.80,51.30,50.20,50.74,"942,363","47,815,213",630,50.80,51.00,"224,172,374",50.90,55.90,45.85
3264,欣銓,36.40,-0.50 ,36.75,36.75,36.15,36.37,"2,706,920","98,444,494","1,803",36.40,36.45,"490,396,211",36.40,40.00,32.80
3265,台星科,31.15,+0.05,31.20,31.25,30.70,30.94,"266,343","8,241,468",195,31.10,31.15,"136,261,659",31.15,34.25,28.05
3268,海德威,14.00,-0.05 ,14.10,14.10,13.80,13.98,"16,000","223,650",10,13.95,14.00,"33,426,272",14.00,15.40,12.60
3272,東碩,33.05,+0.50,32.80,33.10,32.70,32.86,"26,000","854,400",21,32.80,33.10,"52,264,966",33.05,36.35,29.75
3276,宇環,12.00,0.00 ,11.70,12.00,11.70,11.78,"9,000","106,000",7,11.75,12.45,"69,712,666",12.00,13.20,10.80
3284,太普高,17.00,+0.10,16.90,17.00,16.90,16.96,"34,003","576,801",31,17.00,17.05,"55,961,790",17.00,18.70,15.30
3285,微端,25.60,+0.85,24.90,25.80,24.45,25.22,"1,004,200","25,330,057",655,25.55,25.60,"44,109,324",25.60,28.15,23.05
3287,廣寰科,9.10,+0.13,8.93,9.10,8.85,9.05,"16,000","144,840",8,8.85,9.10,"43,970,483",9.10,10.00,8.19
3288,點晶,4.31,+0.39,4.29,4.31,4.29,4.31,"35,806","154,222",20,4.31,0.00,"56,650,148",4.31,4.74,3.88
3289,宜特,55.00,+1.00,53.40,56.00,53.40,54.95,"268,150","14,733,622",178,54.90,55.00,"63,575,121",55.00,60.50,49.50
3290,東浦,19.80,-0.20 ,20.00,20.00,19.65,19.92,"59,003","1,175,457",43,19.75,19.80,"99,548,926",19.80,21.75,17.85
3293,鈊象,144.50,-1.00 ,145.00,146.00,144.00,145.00,"101,290","14,686,760",98,144.00,144.50,"70,087,140",144.50,158.50,130.50
3294,英濟,13.35,-0.25 ,13.60,13.60,13.15,13.30,"454,019","6,039,355",89,13.25,13.35,"132,015,919",13.35,14.65,12.05
3297,杭特,15.05,0.00 ,15.00,15.10,15.00,15.06,"20,400","307,150",14,15.05,15.10,"36,859,845",15.05,16.55,13.55
3299,帛漢,47.60,-0.30 ,48.20,48.90,47.60,47.82,"475,021","22,715,385",251,47.60,47.75,"61,194,225",47.60,52.30,42.85
3303,岱稜,18.40,-0.10 ,18.50,18.50,18.35,18.36,"40,003","734,604",15,18.40,18.50,"96,089,607",18.40,20.20,16.60
3306,鼎天,19.80,-0.15 ,19.95,19.95,19.80,19.82,"9,000","178,400",6,19.75,19.90,"50,607,702",19.80,21.75,17.85
3310,佳穎,38.60,+0.90,37.70,38.80,37.70,38.20,"121,100","4,626,500",81,38.55,38.60,"62,781,586",38.60,42.45,34.75
3313,斐成,26.00,+0.50,25.50,26.10,25.50,25.79,"270,005","6,963,630",152,26.00,26.10,"83,770,776",26.00,28.60,23.40
3317,尼克森,37.25,-0.20 ,37.20,37.50,36.70,37.03,"390,326","14,453,272",300,37.25,37.40,"61,251,550",37.25,40.95,33.55
3322,建舜電,8.71,+0.01,8.71,8.99,8.70,8.75,"28,065","245,653",21,8.71,8.94,"86,415,616",8.71,9.58,7.84
3323,加百裕,40.85,-2.00 ,42.30,42.30,40.60,41.10,"5,119,882","210,437,686","3,194",40.85,40.90,"86,799,914",40.85,44.90,36.80
3324,雙鴻,48.25,0.00 ,47.10,48.90,47.00,47.81,"585,010","27,970,533",453,48.20,48.25,"82,680,953",48.25,53.00,43.45
3325,旭品,12.80,-0.20 ,13.15,13.25,12.80,12.91,"313,125","4,043,647",147,12.80,12.90,"74,634,579",12.80,14.05,11.55
3332,幸康,40.65,-0.20 ,40.85,40.85,40.65,40.75,"2,002","81,580",4,40.05,41.00,"48,104,246",40.65,44.70,36.60
3339,泰谷,8.00,0.00 ,8.00,8.00,8.00,8.00,"4,000","32,000",1,8.00,8.16,"96,181,442",8.00,8.80,7.20
3354,律勝,19.80,+0.60,19.20,19.80,18.80,19.30,"497,150","9,595,205",261,19.80,19.85,"70,112,426",19.80,21.75,17.85
3360,尚立,19.20,+0.20,19.05,19.30,19.00,19.14,"430,624","8,240,465",240,19.20,19.25,"75,456,054",19.20,21.10,17.30
3362,先進光,53.50,-0.90 ,54.70,55.40,52.80,53.77,"2,588,355","139,172,287","1,633",53.30,53.50,"110,858,706",53.50,58.80,48.15
3363,上詮,26.25,-0.05 ,26.40,26.40,25.80,26.05,"55,044","1,434,098",52,26.20,26.30,"77,474,145",26.25,28.85,23.65
3372,典範,5.45,0.00 ,5.45,5.48,5.42,5.46,"180,776","987,279",46,5.42,5.45,"407,330,000",5.45,5.99,4.91
3373,熱映,17.40,-0.20 ,17.45,17.55,17.30,17.36,"64,000","1,110,800",27,17.40,17.45,"43,289,801",17.40,19.10,15.70
