006201,元大富櫃50,13.32,+0.07,13.35,13.42,13.32,13.35,"85,000","1,134,930",30,13.32,13.40,"15,946,000",13.32,14.65,11.99
3234,光環,29.75,+0.35,29.90,29.90,29.55,29.74,"182,500","5,427,950",99,29.70,29.75,"72,527,692",29.75,32.70,26.80
3236,千如,38.80,-0.20 ,39.10,39.25,38.80,38.91,"416,703","16,215,923",335,38.80,38.95,"85,641,378",38.80,42.65,34.95
3252,海灣,17.40,-0.10 ,17.50,17.55,17.40,17.48,"42,066","735,328",24,17.40,17.50,"50,195,754",17.40,19.10,15.70
3259,鑫創,23.50,+0.15,23.20,23.50,23.00,23.20,"73,059","1,694,680",34,23.30,23.50,"80,859,553",23.50,25.85,21.15
3260,威剛,52.30,-0.40 ,52.70,53.10,52.20,52.54,"624,758","32,823,985",468,52.30,52.50,"224,172,374",52.30,57.50,47.10
3264,欣銓,37.45,+0.45,37.15,37.95,37.10,37.62,"2,407,108","90,567,166","1,039",37.45,37.50,"490,396,211",37.45,41.15,33.75
3265,台星科,32.60,-0.45 ,33.50,33.60,32.60,33.14,"993,139","32,914,730",577,32.60,32.65,"136,261,659",32.60,35.85,29.35
3268,海德威,14.90,-0.15 ,15.00,15.05,14.90,14.98,"21,426","320,890",17,14.90,15.00,"33,426,272",14.90,16.35,13.45
3272,東碩,37.90,-0.30 ,38.00,38.10,37.85,38.00,"90,422","3,435,759",67,37.85,37.95,"52,264,966",37.90,41.65,34.15
3276,宇環,12.05,0.00 ,11.90,12.10,11.80,11.97,"37,000","442,850",16,11.85,12.05,"69,712,666",12.05,13.25,10.85
3284,太普高,18.75,-0.50 ,19.20,19.20,18.55,18.78,"760,093","14,272,478",224,18.75,18.85,"55,961,790",18.75,20.60,16.90
3285,微端,25.50,+1.50,24.10,25.80,24.10,25.16,"1,652,300","41,566,980","1,096",25.50,25.55,"44,109,324",25.50,28.05,22.95
3287,廣寰科,9.45,-0.05 ,9.50,9.55,9.45,9.50,"3,001","28,509",4,9.40,9.55,"43,970,483",9.45,10.35,8.51
3288,點晶,3.90,+0.01,3.90,3.90,3.90,3.90,"2,000","7,800",1,3.61,4.17,"56,650,148",3.90,4.29,3.51
3289,宜特,59.50,-0.50 ,60.10,60.10,58.80,59.37,"167,002","9,915,524",143,59.30,59.60,"63,575,121",59.50,65.40,53.60
3290,東浦,19.65,-0.20 ,19.90,19.90,19.55,19.73,"223,216","4,404,971",88,19.65,19.70,"99,548,926",19.65,21.60,17.70
3293,鈊象,152.00,-1.00 ,153.00,154.00,152.00,152.60,"246,400","37,601,400",197,152.00,152.50,"70,087,140",152.00,167.00,137.00
3294,英濟,13.35,-0.05 ,13.30,13.35,13.20,13.27,"22,413","297,492",17,13.30,13.35,"132,015,919",13.35,14.65,12.05
3297,杭特,15.55,+0.45,15.00,15.60,15.00,15.38,"303,500","4,667,650",153,15.55,15.60,"36,859,845",15.55,17.10,14.00
3299,帛漢,57.00,-0.50 ,57.50,57.50,57.00,57.27,"155,575","8,909,727",124,57.00,57.10,"61,194,225",57.00,62.70,51.30
3303,岱稜,18.60,-0.05 ,18.70,18.70,18.55,18.63,"48,000","894,450",23,18.55,18.65,"96,089,607",18.60,20.45,16.75
3306,鼎天,21.65,+0.35,21.85,21.85,21.55,21.66,"18,000","389,950",15,21.65,21.70,"50,607,702",21.65,23.80,19.50
3310,佳穎,36.90,+0.25,36.65,36.95,36.65,36.87,"37,346","1,377,029",24,36.75,36.90,"62,781,586",36.90,40.55,33.25
3313,斐成,26.90,-0.30 ,27.20,27.30,26.60,26.93,"289,000","7,782,000",159,26.90,27.15,"83,770,776",26.90,29.55,24.25
3317,尼克森,41.30,+0.20,40.90,42.20,40.90,41.50,"1,051,332","43,630,743",731,41.30,41.45,"61,251,550",41.30,45.40,37.20
3322,建舜電,8.70,0.00 ,8.57,8.70,8.55,8.62,"66,350","571,721",31,8.62,8.70,"86,415,616",8.70,9.57,7.83
3323,加百裕,42.35,+1.75,41.25,42.60,41.25,41.98,"5,631,008","236,402,834","3,151",42.35,42.40,"86,799,914",42.35,46.55,38.15
3324,雙鴻,61.20,-0.30 ,62.20,62.50,60.20,60.86,"1,555,420","94,655,296",879,61.10,61.20,"82,680,953",61.20,67.30,55.10
3325,旭品,10.50,-0.10 ,10.60,10.60,10.40,10.48,"25,001","262,110",22,10.45,10.50,"74,634,579",10.50,11.55,9.45
3332,幸康, ---,--- ,---,---,---,41.80,0,0,0,40.55,41.95,"48,104,246",41.80,45.95,37.65
3339,泰谷,8.69,-0.10 ,8.50,8.79,8.50,8.53,"14,737","125,665",12,8.34,8.66,"96,181,442",8.69,9.55,7.83
3354,律勝,20.15,-0.10 ,20.40,20.40,20.05,20.16,"286,000","5,765,350",178,20.15,20.25,"70,112,426",20.15,22.15,18.15
3360,尚立,21.40,+0.35,21.05,21.50,20.50,21.00,"1,864,410","39,153,763",957,21.30,21.40,"75,456,054",21.40,23.50,19.30
3362,先進光,61.70,+0.90,61.10,62.00,60.70,61.42,"703,724","43,222,186",447,61.70,61.80,"110,858,706",61.70,67.80,55.60
